,house_name,lat_lon,school
126,Lee Kwan Building&利群樓,"22.4454288,114.03184509999998",0.0663
127,Lee Luen Mansion&利聯大廈,"22.3258533,114.1675568",0.0463
128,Lee Fat Mansion&利發大廈,"22.2686901,114.186409",0.0594
129,Lee Fat Building&利發大樓,"22.321785,114.1683197",0.0705
130,Lee Fat House&利發樓,"22.4433479,114.0267944",0.0758
131,Lee Shing Building&利盛大樓,"22.3233051,114.1655273",0.0586
132,Lee Hing Building&利興大樓,"22.320282,114.17080690000002",0.1621
133,Lee Wah Mansion&利華大廈,"22.2880287,114.1446991",0.2577
134,Billion Court&利豐大廈,"22.2432899,114.1540146",0.0929
135,Lee Fung Building&利豐大廈,"22.2854843,114.1502075",0.1161
136,La Vogue Court&利華閣,"22.2682629,114.1852493",0.0338
137,Lee Shing Building&利誠大廈,"22.3438187,114.1960373",0.1255
138,Lee Hung Building&利鴻大樓,"22.3217278,114.1704788",0.0981
139,Lik Sang Court&力生閣,"22.3291836,114.1655502",0.2041
140,L．Harbour 18&利．港灣18,"22.3147354,114.1902161",0.1277
141,Kung Lok Building&功樂大廈,"22.3182259,114.2195892",0.0765
142,Chong Tak Building&創德樓,"22.3032951,114.1695938",0.039
143,Kai Ming Building&加冕樓,"22.2784691,114.1793976",0.0884
144,Chong Yip Centre&創業中心,"22.2862167,114.1371994",0.1031
145,Comfort Heights&創福苑,"22.2862415,114.1939774",0.1233
146,Lakeshore Building&力生大廈,"22.4039021,113.9782486",0.1081
147,Silverwood&力生軒,"22.276004800000006,114.1855011",0.1009
148,Lee Fung Building&利豐大樓,"22.3196697,114.1724777",0.1647
149,Pilkem Court&利金閣,"22.3038158,114.17099",0.0533
150,Leader Building&利達大廈,"22.4490986,114.164299",0.1498
151,Lee Shun Building&利順大樓,"22.278389,114.1735458",0.0731
152,Lee Ko Building&利高大廈,"22.3121586,114.1856918",0.1645
153,Lee Tat Building&利達大樓,"22.3258076,114.1678314",0.0632
154,Leader House&利達樓,"22.2830772,114.1296082",0.1185
155,Rialto Mansion&利都樓,"22.2891712,114.19393159999998",0.1966
156,Pilkem House&利金大樓,"22.3046017,114.17099",0.1399
157,Ka Fai Court&加暉閣,"22.2849884,114.1365128",0.0675
158,Kadoorie Lookout&加多利峯,"22.320097,114.1749039",0.1307
159,Grand Court&加林閣,"22.3164597,114.17735290000002",0.1136
160,Seven Victory Aveune&加多利軒,"22.319437,114.1743011",0.1389
161,Caroline Hill Court&加路連大樓,"22.276741,114.18758390000002",0.178
162,CADOGAN&加多近山,"22.2820587,114.1265182",0.0758
163,Cayman Rise&加惠臺,"22.2817917,114.1246643",0.0593
164,One Victory&勝利道1號,"22.3184853,114.17468259999998",0.0713
165,Kan Yip Building&勤業樓,"22.4447479,114.0249405",0.1079
166,Shing Hing Building&勝興樓,"22.3243999,114.1662521",0.1874
167,Kanfield Mansion&勤輝大廈,"22.2777843,114.1924667",0.1554
168,Shing Wah Building&勝華大廈,"22.3592339,114.1272812",0.1325
169,Lai Shing Garden&勵城花園,"22.3803558,114.19537350000002",0.1623
170,Shing Wah Mansion&勝華樓,"22.2798615,114.1819077",0.047
171,Rich Court&勝裕閣,"22.3218861,114.1885452",0.1478
172,Kan Kin Building&勤儉樓,"22.4455357,114.0301971",0.0407
173,Pei Ho Building&北河大廈,"22.3295078,114.1608124",0.2328
174,Hillsea Court&匯山園,"22.3404827,114.176239",0.111
175,North Point Centre&北角中心大廈,"22.2894764,114.1952362",0.1041
176,Wui Chuen Building&匯川大廈,"22.3206749,114.1879425",0.1158
177,North Point Mansion&北角大廈,"22.2898026,114.2030563",0.1368
178,Way Man Court&匯文樓,"22.2678223,114.1854095",0.0201
179,Dawning Height&匡景居,"22.2831917,114.1513443",0.1368
180,Marina Cove&匡湖居,"22.3576107,114.2546539",0.2776
181,Well Found Building&匯創大廈,"22.2809372,114.1828308",0.0099
182,No. 1 Star Street&匯星壹號,"22.2758503,114.1685181",0.0665
183,Splendid Place&匯豪峰,"22.2855549,114.2138138",0.2052
184,Scenery Mansion&匯景大廈,"22.3240585,114.1786499",0.3773
185,Winsome Park&匯豪閣,"22.280496600000006,114.14934540000002",0.1051
186,Sceneway Garden&匯景花園,"22.3077621,114.2335968",0.0647
187,Centre Place&匯賢居,"22.2848587,114.14607240000002",0.113
188,Richland Court&匯源閣,"22.2758579,114.1731415",0.223
189,Greenway Terrace&匯翠台,"22.2752609,114.1853485",0.0305
190,THE PASEO&匯萃,"22.2992039,114.175209",0.097
191,The Forest Hills&匯豪山,"22.3455925,114.19908909999998",0.0724
192,Royal Peninsula&半島豪庭,"22.3043194,114.1850967",0.1101
193,Trafalgar Gardens&卓雅花園,"22.4295731,113.9960556",0.3011
194,Check Bo House&卓寶樓,"22.3303757,114.191185",0.0958
195,Hip Lee Building&協利大樓,"22.3156948,114.2223816",0.0688
196,Cheuk Ming Mansion&卓明大廈,"22.371482800000006,114.1158371",0.0947
197,Hip Sing Mansion&協勝大廈,"22.2477474,114.1560898",0.1025
198,Cheuk Ming Building&卓明樓,"22.3718014,114.1165771",0.1583
199,Scenic Crest&卓濤軒,"22.2634926,114.0017624",0.0374
200,Chelsea Heights&卓爾居,"22.4007492,113.9744415",0.0331
201,The Celebrity&卓譽峰,"22.324749,114.1713028",0.123
202,The Opulence&匯賢閣,"22.3283234,114.1885529",0.0999
203,Chin Lung Building&千龍大樓,"22.3705521,114.1162033",0.1265
204,WUI FAI HOUSE&匯輝大樓,"22.3241615,114.1652756",0.0932
205,Celestial Heights (Phase 1)&半山壹號,"22.3189487,114.1857452",0.1239
206,La Regent Park&匯駿山莊,"22.4990139,114.111824",0.2655
207,Peninsula Apartments&半島大廈,"22.2968483,114.1733932",0.1774
208,Tsin Shui Building&千歲大廈,"22.3210239,114.1615372",0.1153
209,Millennium Court&千禧閣,"22.2827072,114.22116090000002",0.0739
210,Sheeny Terrace&千里台,"22.3763905,114.1050339",0.0017
211,Hillwood Mansion&協和大廈,"22.3029404,114.1743317",0.08
212,Hip Fook Building&協福大廈,"22.3317776,114.1645355",0.2165
213,Hip Wo House&協和大廈,"22.3165016,114.2260971",0.1543
214,Hip Kwan House&協群樓,"22.3287334,114.1653214",0.1492
215,Hip Wo Mansion&協和大廈,"22.2779503,114.2285767",0.1177
216,Hip Fai Building&協輝大廈,"22.3073006,114.1865005",0.0926
217,Hipway Towers&協威園,"22.3211422,114.2262344",0.1287
218,Hiap Teck Building&協德大廈,"22.2696629,114.1847229",0.1412
219,Hip Tak Building&協德大廈,"22.3594341,114.1275406",0.0981
220,Hip Sang Building&協生大廈,"22.277732800000006,114.1723175",0.0843
221,Hip Pont Building&協邦大廈,"22.401369100000004,113.9776917",0.1618
222,Nam Tin Building&南天大廈,"22.290205,114.1949768",0.0716
223,Nanking Building&南京大廈,"22.3059273,114.1699829",0.1141
224,Nan Tin Mansion&南天大廈,"22.4428329,114.0262909",0.1263
225,Nam Kiu Mansion&南僑大廈,"22.3177471,114.2257919",0.1364
226,Nam On Mansion&南安大樓,"22.3153305,114.2248154",0.1483
227,Nam Pak Hong Building&南北行大廈,"22.2867107,114.1486511",0.2163
228,Nam Wo Building&南和大樓,"22.318828600000003,114.2152252",0.2306
229,Park One&南昌一號,"22.3264847,114.1605835",0.2193
230,Nam Cheong Estate&南昌邨,"22.3268261,114.1563416",0.4856
231,Nam Cheong Centre&南昌中心,"22.328352,114.1622086",0.2796
232,South View Building&南景樓,"22.2844219,114.1924591",0.0255
233,Nam Cheong Building&南昌大廈,"22.285093300000003,114.1353683",0.0864
234,South View Garden&南景花園,"22.2491398,114.14855959999998",0.3908
235,Nam Cheung Building&南昌大廈,"22.3301525,114.1637878",0.1513
236,Nam Cheong Commercial Building&南昌戲院大廈,"22.3341064,114.1674576",0.0781
237,Nam Cheong House&南昌樓,"22.2863693,114.1396942",0.1169
238,Nam Cheong Mansion&南昌苑,"22.3309212,114.164444",0.1967
239,Nam Fu Building&南富樓,"22.3288307,114.1608963",0.2821
240,Southern Building&南方大廈,"22.289987600000003,114.1947021",0.092
241,Nam Ning Mansion&南寧大廈,"22.2840328,114.1437759",0.0576
242,Nam Fong House&南方樓,"22.3295784,114.1632767",0.162
243,Nam Ning Mansion&南寧大樓,"22.317524,114.2252808",0.1196
244,South Court&南方花園,"22.328346300000003,114.1858749",0.1946
245,Nam Hong Building&南康大廈,"22.3182545,114.22052",0.1118
246,Nam Lo Mansion&南廬大廈,"22.3374367,114.1569901",0.173
247,Nam Shing Building&南成大廈,"22.2768078,114.1711273",0.1329
248,Nam Wing Building&南榮大廈,"22.2685814,114.1865463",0.0776
